Order ID,Order Date,Month,Quarter,Year,Region,Country,City,Customer Segment,Product Category,Product Name,Sales Channel,Sales Amount,Cost,Profit,Profit Margin %,Quantity Sold,Discount %,Shipping Cost,Delivery Status
ORD-10001,2024-04-12,Apr,Q2,2024,Latin America,Brazil,São Paulo,Small Business,Office Supplies,Whiteboard,Online,3984.26,2457.48,1526.78,0.3832,11,0.1837,9.64,Delivered
ORD-10002,2024-05-10,May,Q2,2024,Africa,Nigeria,Lagos,Enterprise,Electronics,Smart Speaker,Direct Sales,15475.29,7862.56,7612.73,0.4919,22,0.0028,102.48,Returned
ORD-10003,2025-05-25,May,Q2,2025,Europe,France,Paris,Enterprise,Office Supplies,Ballpoint Pens,Distributor,11722.4,6560.83,5161.57,0.4403,37,0.243,8.48,Returned
ORD-10004,2025-01-22,Jan,Q1,2025,North America,Canada,Toronto,Corporate,Furniture,Standing Desk,Online,5849.26,3174.47,2674.79,0.4573,28,0.1761,199.04,Delivered
ORD-10005,2024-02-04,Feb,Q1,2024,North America,Canada,Toronto,Corporate,Electronics,Smart Speaker,Retail Store,13713.09,10576.86,3136.23,0.2287,29,0.3878,143.95,Delivered
ORD-10006,2024-09-26,Sep,Q3,2024,Latin America,Brazil,São Paulo,Corporate,Apparel,Work Boots,Retail Store,14710.1,10149.14,4560.96,0.3101,25,0.1124,19.23,Delivered
ORD-10007,2024-01-15,Jan,Q1,2024,Africa,South Africa,Johannesburg,Consumer,Technology,Laptop Pro,Direct Sales,450.59,349.91,100.68,0.2234,17,0.2845,88.48,Delivered
ORD-10008,2025-05-04,May,Q2,2025,Europe,Germany,Berlin,Enterprise,Technology,USB Hub,Retail Store,9333.37,6598.27,2735.1,0.293,24,0.2664,61.98,Delivered
ORD-10009,2025-06-30,Jun,Q2,2025,North America,USA,Chicago,Consumer,Office Supplies,Printer Paper,Online,19297.08,14448.34,4848.74,0.2513,39,0.0162,9.16,Delivered
ORD-10010,2025-04-05,Apr,Q2,2025,Asia-Pacific,India,Mumbai,Enterprise,Apparel,Uniform Shirt,Retail Store,15149.99,8788.2,6361.79,0.4199,15,0.3022,17.31,Delivered
ORD-10011,2025-11-29,Nov,Q4,2025,Asia-Pacific,Australia,Sydney,Corporate,Furniture,Meeting Table,Retail Store,21799.37,14077.56,7721.81,0.3542,28,0.0874,276.66,Delivered
ORD-10012,2025-10-01,Oct,Q4,2025,Europe,France,Paris,Consumer,Technology,Laptop Pro,Online,112.96,56.75,56.21,0.4976,13,0.3443,80.86,Delivered
ORD-10013,2025-10-10,Oct,Q4,2025,Africa,South Africa,Johannesburg,Small Business,Furniture,Filing Cabinet,Direct Sales,8147.75,5225.5,2922.25,0.3587,32,0.2232,112.98,Delayed
ORD-10014,2025-03-17,Mar,Q1,2025,Latin America,Argentina,Buenos Aires,Corporate,Furniture,Bookshelf,Online,24943.74,16060.35,8883.39,0.3561,49,0.3906,106.61,Delivered
ORD-10015,2024-08-12,Aug,Q3,2024,North America,USA,Chicago,Corporate,Furniture,Meeting Table,Direct Sales,13867.04,8727.62,5139.42,0.3706,4,0.0323,148.43,Delivered
